"Respondent.Serial";"Respondent.Serial.SourceFile";"Respondent.Origin (1/6)";"Respondent.Origin (2/6)";"Respondent.Origin (3/6)";"Respondent.Origin (4/6)";"Respondent.Origin (5/6)";"Respondent.Origin (6/6)";"Respondent.Origin.Other";"Respondent.ID";"DataCollection.Status (1/9)";"DataCollection.Status (2/9)";"DataCollection.Status (3/9)";"DataCollection.Status (4/9)";"DataCollection.Status (5/9)";"DataCollection.Status (6/9)";"DataCollection.Status (7/9)";"DataCollection.Status (8/9)";"DataCollection.Status (9/9)";"DataCollection.InterviewerID";"DataCollection.StartTime";"DataCollection.FinishTime";"DataCollection.MetadataVersionNumber";"DataCollection.MetadataVersionGUID";"DataCollection.RoutingContext";"DataCollection.Variant";"DataCollection.EndQuestion";"DataCollection.TerminateSignal";"DataCollection.SeedValue";"DataCollection.InterviewEngine";"DataCollection.CurrentPage";"DataCollection.Debug";"DataCollection.ServerTimeZone";"DataCollection.InterviewerTimeZone";"DataCollection.RespondentTimeZone";"DataCollection.BatchID";"DataCollection.BatchName";"DataCollection.DataEntryMode";"DataCollection.Removed";"DataCleaning.Note";"DataCleaning.Status (1/2)";"DataCleaning.Status (2/2)";"DataCleaning.ReviewStatus (1/4)";"DataCleaning.ReviewStatus (2/4)";"DataCleaning.ReviewStatus (3/4)";"DataCleaning.ReviewStatus (4/4)";"PA";"PB";"P1_1";"P1_1.R96";"P1_T (1/10)";"P1_T (2/10)";"P1_T (3/10)";"P1_T (4/10)";"P1_T (5/10)";"P1_T (6/10)";"P1_T (7/10)";"P1_T (8/10)";"P1_T (9/10)";"P1_T (10/10)";"P1_T.R96";"P2_1";"P2_1.R96";"P2_T (1/10)";"P2_T (2/10)";"P2_T (3/10)";"P2_T (4/10)";"P2_T (5/10)";"P2_T (6/10)";"P2_T (7/10)";"P2_T (8/10)";"P2_T (9/10)";"P2_T (10/10)";"P2_T.R96";"P3";"P3.R96";"P4_1";"P4_2";"P4_3";"P4_4";"P4_5";"P4_6";"P4_7";"P4_8";"P4_9";"P4_96";"P4aCOMP";"P5";"P5.R96";"P6";"P6aCOMP";"P6a2COMP";"P6aAnos";"P6a";"P6aDias";"P8COMP";"P8COMP.R96";"P9COMP";"P10COMP";"P11COMP";"P12COMP";"P10";"P13aCOMP";"P13bCOMP";"P11[{R1}].escala";"P11[{R2}].escala";"P11[{R3}].escala";"P11[{R4}].escala";"P11[{R5}].escala";"P11[{R6}].escala";"P11[{R7}].escala";"P11[{R8}].escala";"P13aCOMP2";"P13bCOMP2";"P17[{R1}].escala";"P17[{R2}].escala";"P17[{R3}].escala";"P17[{R4}].escala";"P17[{R5}].escala";"P17[{R6}].escala";"P17[{R7}].escala";"P17[{R8}].escala";"P18[{R01}].escala";"P18[{R02}].escala";"P18[{R03}].escala";"P18[{R04}].escala";"P18[{R05}].escala";"P18[{R06}].escala";"P18[{R07}].escala";"P18[{R08}].escala";"P18[{R09}].escala";"P18[{R10}].escala";"P18[{R11}].escala";"P18[{R12}].escala";"P18[{R13}].escala";"P18[{R14}].escala";"P18[{R15}].escala";"P18[{R16}].escala";"P18[{R17}].escala";"P18[{R18}].escala";"P18[{R19}].escala";"D1";"D2";"D3";"D3.R96";"D4";"D4.R96";"EDJF";"AUTO";"HABI";"BANO";"BOIL";"FOCO";"NSE_Final";"USUARIOS";"NUSUARIOS (1/3)";"NUSUARIOS (2/3)";"NUSUARIOS (3/3)"
17947;;3;;;;;;;500123;1;;;;;;;;;"1616merinocesar101502";"2015-10-13 19:15:48";"2015-10-13 19:35:11";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408787136;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;7;8;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;1;5;20;1;;"por que siento que su señal es buena en varios lugares.";;2;"por que me siento comodo con la compañía que estoy.";5;4;"por que me parecen buenos los servicios que brinda de internet y las aplicaciones y los precios que aplica.";5;4;2;4;1;4;2;5;5;"por que me ofrece mas funciones en que puedo hacer mas cosas con el plan, compro aplicaciones, navegar en internet.";5;5;4;5;2;5;4;4;6;6;6;7;6;6;6;6;7;6;6;6;6;6;6;6;6;6;6;2;2;1;;5;;9;1;3;1;1;6;2;"4 Movistar";2;;
17948;;3;;;;;;;500077;1;;;;;;;;;"1220garciafernando121402";"2015-10-13 19:15:57";"2015-10-13 19:28:39";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408777917;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;;;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;3;0;0;1;;"POR QUE ME GUSTA TELCEL";;2;"NO ME GUSTA LAS RECARGAS SON MAS ALTAS QUE MOVISTAR";4;4;"POR QUE EN SUS POCIONES SE VE BIEN, POR LA CARGA DE $200.00 Y TE DA UN PAQUETE";2;1;2;1;2;1;1;2;2;"POR QUE IUSACELL NO ME LLAMA LA ATENCIÓN POR SUS ALTAS RECARGAS IGUAL QUE UNEFON";1;2;2;1;1;1;1;2;6;7;6;6;7;7;7;7;7;6;6;7;7;9;7;7;7;7;7;2;2;1;;6;;5;2;4;2;1;4;3;"4 Movistar";2;;
17949;;3;;;;;;;500124;1;;;;;;;;;"1610canasgabriela101503";"2015-10-13 19:16:08";"2015-10-13 19:22:01";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408767402;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;7;8;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;1;2;15;1;;"POR LOS PLANES DE PAGO DE INTERNET Y POR LOS PAQUETES DE MESES QUE TE OFRECE";;2;"PORQUE NO CONOZCO NADA DE UNEFON";4;4;"PORQUE LAS TARIFAS SON BARATAS Y TE DAN VARIOS MEGAS";5;5;3;4;4;5;5;5;2;"PORQUE NO ME ATRE NO ME PARECEN ATRACTIVAS SUS OFERTAS";5;5;2;5;5;5;5;5;7;7;7;7;7;6;7;6;6;7;7;7;6;7;7;6;7;6;6;2;2;1;;5;;11;1;5;4;1;18;1;"4 Movistar";2;;
17950;;3;;;;;;;500125;1;;;;;;;;;"1614vazquezdavid101501";"2015-10-13 19:16:13";"2015-10-13 19:25:55";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408762207;"IOM 6.0";32;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;95;;;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;4;98;998;5;;"tiene mejor cobertura en redes sociales watssap facebook etc...";;;;4;4;"por que pondria el radio ilimitado,no seria muy util pero lo demas esta muy bien";4;4;5;5;4;3;1;3;4;"por las coberturas en redes sociales llamadas ilimitadas y mensajes";4;4;5;5;1;1;1;3;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;2;2;1;;1;;9;2;4;1;1;7;4;"4 Movistar";2;;
17951;;3;;;;;;;500150;1;;;;;;;;;"2956cerecerojesus";"2015-10-13 19:16:28";"2015-10-13 19:23:23";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408747278;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;7;8;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;1;;"me quitaban saldo me cobraban llamas gratis se tragaba mis recargas";"tiene mala calidad";;1;0;0;97;;;"tengo buen servicio cuando pierdo la red me llegan recargas";2;"porque no me gustan su planes y mi familia tiene movistar";4;2;"no me gudtan los planes";1;2;2;2;2;4;1;2;5;"porque es mas completo y brinda mejor servicio";2;4;4;2;2;4;2;4;6;6;6;6;6;6;6;7;6;7;6;6;7;6;7;6;6;6;6;2;2;1;;6;;5;1;3;1;1;7;3;"4 Movistar";2;;
17952;;3;;;;;;;500126;1;;;;;;;;;"1435munozgerson061504";"2015-10-13 19:16:45";"2015-10-13 19:27:16";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408730399;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;;;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;2;3;0;6;;"porque tiene mejor y mayor cobertura no se pierde la señal esta bajando la tarifa no es como antes que nadie la conocia";;1;"no contesto";5;4;"por que a veces hago mas recargas gasto mas dinero y aqui con solo doscientos tendria redes ilimitadas y 400 megas esta como barato";4;5;5;5;5;4;3;5;4;"por que no tiene como que mucha demanda iusacell no estan recomendado";5;5;5;4;4;4;3;4;9;9;6;6;8;7;6;6;6;9;9;9;9;9;7;7;9;7;7;3;2;1;;1;;9;1;6;1;1;13;1;"4 Movistar";2;;
17953;;3;;;;;;;500127;1;;;;;;;;;"3103lopezmegan";"2015-10-13 19:17:25";"2015-10-13 19:30:10";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408690431;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;8;;1;6;;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;998;6;998;97;;;"porque con movi rinde bastante lo que recargo y me da números gratis que no necesito mas";2;"porque anuncian que tiene muchas cosas pero no, es caro y no rinde lo que uno recarga";1;1;"no dice que vigencia tendrán los 200pesos , no les creo porque un familiar tiene unefon y siempre hace corajes con ellos";2;2;1;2;2;2;2;2;1;"porque es una compañía cara, poco conocida y lo que se sabe de ellos es que son caros";2;2;2;1;1;2;2;2;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2;2;1;;6;;7;1;5;1;1;9;1;"4 Movistar";2;;
17954;;3;;;;;;;500128;1;;;;;;;;;"1169CHAVEZDIANA121402";"2015-10-13 19:17:37";"2015-10-13 19:28:48";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408677920;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;3;8;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;1;0;0;97;;;"TIENE LAS MEJORES PROMOCIONES, RECARGAS DOBLES MENSAJES GRATUITOS";2;"POR QUE ES MAS CARO Y LOS PLANES QUE TRAE NO ME GUSTAN";1;1;"POR QUE ES MUY CARO Y ES MAS POCO LO QUE OFRECE";1;1;1;1;1;1;1;1;1;"NO ME GUSTA, ES MUY CARO Y OFRECE MUY POCO NO ME CONVENCIO";1;1;1;1;1;1;1;1;9;9;9;9;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;2;2;1;;9;;9;1;6;1;1;11;1;"4 Movistar";2;;
17955;;3;;;;;;;500129;1;;;;;;;;;"1406LLANOSMOISES061503";"2015-10-13 19:18:00";"2015-10-13 19:29:42";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408655518;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;8;;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;1;5;998;97;;;"POR QUE ESTA MUY BIEN MOVISTAR, EL TIEMPO AIRE, LOS NUMEROS GRATIS.";2;"POR QUE YA ME ACOSTUMBRE CON MOVISTAR, ESTA MUY BIEN MOVISTAR.";4;1;"POR QUE ME GUSTA EL QUE TENGO,TODOS LOS SERVICIOS LA RECARGAS EL PAQUETE,LA COBERTURA HAY MAS SEÑAL.";4;4;1;2;1;1;2;2;1;"POR QUE ESTA CAROY LA COBERTURA, NO HAY SEÑAL.";4;2;2;2;2;2;2;2;9;9;9;7;7;7;9;9;9;9;9;9;9;9;9;7;7;9;9;3;2;1;;9;;11;1;10;2;1;21;3;"4 Movistar";2;;
17956;;3;;;;;;;500130;1;;;;;;;;;"1477leonardofatima061501";"2015-10-13 19:18:01";"2015-10-13 19:36:43";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1408654660;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;5;7;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;1;;;;;2;95;;;;;2;98;998;97;;;"ES ECONOMICA Y ME GUSTA EL SERVICIO, LA RECEPCIÓN SUS EQUIPOS SON BUENAS, SOLO PAGAS LO QUE HABLAS";2;"SIMPLEMENTE PORQUE NO ME GUSTA, SE ME HACE CARO Y RECARGAS HAY ARRIBA DE $50 CUANDO DE MOVISTAR ES DE $30 Y CASI NO TIENE UNO TANTO";1;1;"PORQUE ESTOY CONTENTA CON MI LINEA ACTUAL NADA MÁS ES BARATO, NO PAGO MUCHO";2;1;1;1;2;1;1;1;1;"NO PORQUE ESTOY CONTENTA CON MOVISTAR, QUE SOLO PAGAS LO QUE LLAMAS, PAGO POCO LAS RECARGAS SON ACCESIBLES NUMEROS GRATIS";1;1;1;1;2;1;1;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;3;2;5;;4;;11;1;7;2;1;19;1;"4 Movistar";2;;
