"Respondent.Serial";"Respondent.Serial.SourceFile";"Respondent.Origin (1/6)";"Respondent.Origin (2/6)";"Respondent.Origin (3/6)";"Respondent.Origin (4/6)";"Respondent.Origin (5/6)";"Respondent.Origin (6/6)";"Respondent.Origin.Other";"Respondent.ID";"DataCollection.Status (1/9)";"DataCollection.Status (2/9)";"DataCollection.Status (3/9)";"DataCollection.Status (4/9)";"DataCollection.Status (5/9)";"DataCollection.Status (6/9)";"DataCollection.Status (7/9)";"DataCollection.Status (8/9)";"DataCollection.Status (9/9)";"DataCollection.InterviewerID";"DataCollection.StartTime";"DataCollection.FinishTime";"DataCollection.MetadataVersionNumber";"DataCollection.MetadataVersionGUID";"DataCollection.RoutingContext";"DataCollection.Variant";"DataCollection.EndQuestion";"DataCollection.TerminateSignal";"DataCollection.SeedValue";"DataCollection.InterviewEngine";"DataCollection.CurrentPage";"DataCollection.Debug";"DataCollection.ServerTimeZone";"DataCollection.InterviewerTimeZone";"DataCollection.RespondentTimeZone";"DataCollection.BatchID";"DataCollection.BatchName";"DataCollection.DataEntryMode";"DataCollection.Removed";"DataCleaning.Note";"DataCleaning.Status (1/2)";"DataCleaning.Status (2/2)";"DataCleaning.ReviewStatus (1/4)";"DataCleaning.ReviewStatus (2/4)";"DataCleaning.ReviewStatus (3/4)";"DataCleaning.ReviewStatus (4/4)";"PA";"PB";"P1_1";"P1_1.R96";"P1_T (1/10)";"P1_T (2/10)";"P1_T (3/10)";"P1_T (4/10)";"P1_T (5/10)";"P1_T (6/10)";"P1_T (7/10)";"P1_T (8/10)";"P1_T (9/10)";"P1_T (10/10)";"P1_T.R96";"P2_1";"P2_1.R96";"P2_T (1/10)";"P2_T (2/10)";"P2_T (3/10)";"P2_T (4/10)";"P2_T (5/10)";"P2_T (6/10)";"P2_T (7/10)";"P2_T (8/10)";"P2_T (9/10)";"P2_T (10/10)";"P2_T.R96";"P3";"P3.R96";"P4_1";"P4_2";"P4_3";"P4_4";"P4_5";"P4_6";"P4_7";"P4_8";"P4_9";"P4_96";"P4aCOMP";"P5";"P5.R96";"P6";"P6aCOMP";"P6a2COMP";"P6aAnos";"P6a";"P6aDias";"P8COMP";"P8COMP.R96";"P9COMP";"P10COMP";"P11COMP";"P12COMP";"P10";"P13aCOMP";"P13bCOMP";"P11[{R1}].escala";"P11[{R2}].escala";"P11[{R3}].escala";"P11[{R4}].escala";"P11[{R5}].escala";"P11[{R6}].escala";"P11[{R7}].escala";"P11[{R8}].escala";"P13aCOMP2";"P13bCOMP2";"P17[{R1}].escala";"P17[{R2}].escala";"P17[{R3}].escala";"P17[{R4}].escala";"P17[{R5}].escala";"P17[{R6}].escala";"P17[{R7}].escala";"P17[{R8}].escala";"P18[{R01}].escala";"P18[{R02}].escala";"P18[{R03}].escala";"P18[{R04}].escala";"P18[{R05}].escala";"P18[{R06}].escala";"P18[{R07}].escala";"P18[{R08}].escala";"P18[{R09}].escala";"P18[{R10}].escala";"P18[{R11}].escala";"P18[{R12}].escala";"P18[{R13}].escala";"P18[{R14}].escala";"P18[{R15}].escala";"P18[{R16}].escala";"P18[{R17}].escala";"P18[{R18}].escala";"P18[{R19}].escala";"D1";"D2";"D3";"D3.R96";"D4";"D4.R96";"EDJF";"AUTO";"HABI";"BANO";"BOIL";"FOCO";"NSE_Final";"USUARIOS";"NUSUARIOS (1/3)";"NUSUARIOS (2/3)";"NUSUARIOS (3/3)"
25;;3;;;;;;;10468;1;;;;;;;;;"1023hernandezangelica031404";"2015-10-07 16:26:58";"2015-10-07 16:43:11";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1937310224;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;6;;"porque la señal no era buena . .";;"pues  porque siento muy señal , mi familia tiene esa compania";5;0;0;3;;"el costo . es mas barata";;2;"no lo conosco";4;2;"por el tiuempo por comodidad";1;2;1;1;1;1;1;1;1;"por no parece lo mismo";1;1;1;1;1;1;1;1;6;6;7;6;7;6;6;8;6;7;7;7;7;7;6;7;7;6;6;3;2;1;;1;;9;1;5;1;2;8;3;"3 Telcel";1;;
107;;3;;;;;;;338;1;;;;;;;;;"1023hernandezangelica031404";"2015-10-07 16:44:46";"2015-10-07 16:57:34";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1936241664;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;96;"nextel";95;;;;;;;;;;;;;;;;;;;;;;1;2;95;;;;;1;0;0;1;;"porque tiene mejor señal";;1;"porque es mas economica";4;2;"porque tengo nextel no da el mismo servicio,";1;4;5;5;5;4;4;1;4;"por que lo  tenia antes ,";1;5;5;4;5;4;4;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;1;2;;1;;5;1;2;1;1;4;3;"5 Nextel";3;;
225;;3;;;;;;;12600;1;;;;;;;;;"1412serranoveronica061502";"2015-10-07 17:50:23";"2015-10-07 18:03:25";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1932304683;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;1;;"pórque se me hace buen servi y no es muy caros";"hftgh";"no es muy caro";1;0;0;6;;"ahí porque la compañía de eu es una";;2;"no conozco la compañia";4;1;"no hay señal";1;1;1;1;1;1;2;1;2;"no me interesa si n";2;2;2;2;2;2;2;2;7;7;6;7;8;6;6;6;7;8;7;7;6;8;7;6;6;6;7;2;1;2;;1;;6;1;3;1;1;6;2;"3 Telcel";1;;
245;;3;;;;;;;11458;1;;;;;;;;;"1424jimenezfelipe061504";"2015-10-07 17:53:42";"2015-10-07 18:05:42";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1932106140;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;96;99;95;;;;;;;;;;;96;"telcel";95;;;;;;;;;;;;;;;;;;;;;;2;2;6;;"opr que mi trabajo eta alejado me daba mejor cobertura";;;1;98;998;97;;;"por su buena cobertura";2;"por que no conoce la compañía";4;2;"estoy conforme con telcel ya que me da buena señal";5;5;5;3;3;5;3;3;1;"no los conozco";5;5;5;5;5;5;5;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;4;1;2;;3;;5;2;3;1;1;5;4;"3 Telcel";1;;
294;;3;;;;;;;12573;1;;;;;;;;;"1119delpozoalejandra061404";"2015-10-07 18:02:32";"2015-10-07 19:08:39";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1931576252;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;7;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"por que fueron los primeros que tuvieron cobertura pero ya me que de con telcel";10;0;0;2;;"por que avia escuchado que tenia bueno servicios y por cuestión de servicio de la recepción";;1;"es perando que fuera mas eqconomico y mejor servicio";5;4;"para conocer los venedicios mas afondo y ya el tiempo dira";4;4;4;4;4;2;4;4;4;"por los buenos comentarios que andicho y por los beneficios";2;1;2;2;2;1;2;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;1;2;;1;;3;1;8;1;1;22;2;"3 Telcel";1;;
367;;3;;;;;;;10958;1;;;;;;;;;"1417lopezgricelda061502";"2015-10-07 18:15:27";"2015-10-07 18:58:57";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1930801067;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"PUES NO SE, ESTA MEJOR, LA LINE ME AGRADA";1;98;98;96;"NINGUNA";"NO ME GUSTAN";;2;"PUES NO SE, ME GUSTA MAS TELCEL";3;3;"NECESITARIA VER TAL FUNCIONA Y QUE TANTO ME SERVIRIA";2;4;5;2;3;2;4;5;4;"PORQUE ME LLAMA MAS UN POCO EL PLAN PORQUE LO OCUPO";1;4;4;4;4;2;2;2;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;3;1;96;"N/C";96;"N/C";14;3;99;5;3;99;9;"3 Telcel";1;;
477;;3;;;;;;;1543;1;;;;;;;;;"1424jimenezfelipe061504";"2015-10-07 18:47:53";"2015-10-07 19:01:29";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1928855235;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;96;"unefon";96;;;;;;;;;;"nextel";96;"nextel";;;;;;;;;;1;2;96;"telmex";"por el trabajo por que todos mis amigos tienen nextel y se comunican olo por radio";;;2;98;998;96;"telmex";"por las promociones";;1;"por los beneficios";5;5;"tiene buenas promciones";4;2;4;2;2;4;2;4;4;"por que Iusacell aveces ya se socia con nextel";2;2;2;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;1;1;;1;;1;2;3;1;2;4;4;"5 Nextel";3;;
486;;3;;;;;;;13967;1;;;;;;;;;"1023hernandezangelica031404";"2015-10-07 18:50:23";"2015-10-07 19:02:36";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1928704757;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"pr que me gusta . mejor";10;0;0;3;;"porque dicen muchos es internt";;2;"porque ase mucho lo tube y mi familia no me gusto poco roming";4;1;"porque esta bien";1;2;1;2;1;1;4;2;1;"porque no me interesa";1;1;1;1;1;1;1;1;6;6;7;6;6;6;7;6;8;7;6;7;6;7;7;8;6;9;6;2;2;1;;1;;14;3;99;5;3;99;9;"3 Telcel";1;;
493;;3;;;;;;;10597;1;;;;;;;;;"1406llanosmoises061503";"2015-10-07 18:51:29";"2015-10-07 20:37:53";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1928638956;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"POR LA COMODIDAD Y LOS CENTROS DE ATENCION QUE ESTAN MAS CERCAS DE DONDE VIVO";5;98;98;97;;;"TIENE LAS REDES MAS RAPIDAS,LOS CENTROS DE DONDE ESTAMOS QUEDAN CERCA,ME BRINDAN ALGUNOS BENEFICIOS";2;"POR QUE NO CONOSCO LAS PROMOCIONES NO SABRIA BIEN";4;2;"POR LO MENOS TIENEN QUE ESPERAR 18 MESES POR QUE APENAS ACABO DE RENOBAR EL PLAN";5;5;5;5;1;5;1;2;1;"POR QUE APENAS ACABO DE RENOVAR EL PLAN";5;5;5;5;1;5;1;1;6;9;6;6;6;9;6;6;9;6;9;9;9;6;6;6;6;9;6;2;1;96;"NO CONTESTO";96;"NO CONTESTO";14;3;99;5;3;99;9;"3 Telcel";1;;
545;;3;;;;;;;12747;1;;;;;;;;;"1572CARPINTEYROZAIRA091504";"2015-10-07 19:08:16";"2015-10-07 19:27:19";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1927632187;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;7;8;;;;;;;;1;;6;;;;;;;;;;;1;;2;;;;;2;;;;;2;95;;;;"POR LA RED , POR LA COBERTURA QUE TIENE";1;98;998;97;;;"POR QUE SIEMPRE TENGO SEÑAL";2;"POR QUE ESTOY BIEN CON LA COMPAÑA QUE TIENE MI APARATO";4;1;"POR QUE ESTOY BIEN CON ESE";2;1;4;1;4;4;4;2;1;"POR QUE ESTOY AGUSTO CON LA QUE TENGO";2;2;4;4;4;4;4;4;7;7;7;7;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;3;2;1;;4;;2;2;99;1;2;3;9;"3 Telcel";1;;
550;;3;;;;;;;12004;1;;;;;;;;;"1119delpozoalejandra061404";"2015-10-07 19:10:31";"2015-10-07 19:26:41";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1927497200;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;7;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"se me hace mas fácil desde un principio empeze con telcel tengo 10 años y no e tenido problemas";10;0;0;97;;;"por que a mi me da el servicio que yo necesito y no a tenido poblemas con lña compoañia";2;"por que no e tenido problemas con mi compañía no me interesa";5;5;"para tener las promociones que me esta dando a conocer";4;4;4;4;2;2;2;4;1;"por nque no me interesa";1;1;1;1;1;1;1;1;9;9;7;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;5;2;2;;1;;11;1;5;2;1;13;1;"3 Telcel";1;;
574;;3;;;;;;;10403;1;;;;;;;;;"1417lopezgricelda061502";"2015-10-07 19:18:46";"2015-10-07 19:40:30";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1927002521;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"PORQUE AQUI NO AGARRA OTRA COMPAÑIA";8;98;998;97;;;"PORQUE AQUI DONDE VIVO NO TIENE SEÑAL";2;"NECESITO SABER EL SERVICIO QUE TIENE, SI ES MA BARATO O CARO";5;1;"PORQUE AQUI NO AGARRA OTRO QUE NO SEA TELCEL";4;4;3;5;5;3;5;5;5;"PORQUE ES MENOS CARO Y A COMO ESTA LA ECONOMIA ME COVIENE";4;5;4;5;4;3;5;5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;2;4;;8;;5;2;2;1;1;8;4;"3 Telcel";1;;
599;;3;;;;;;;420;1;;;;;;;;;"1616merinocesar101502";"2015-10-07 19:30:23";"2015-10-12 15:02:38";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1926304744;"IOM 6.0";38;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;7;;;;;;;;;1;;7;;;;;;;;;;;7;;1;;;;;;2;;;;1;6;;"por que luego no tiene recepción en algunos lugares.";;"por que le a resultado mejor ya que tiene mejor recepción en cualquier lado y tiene mas señal.";3;98;998;97;;;"ya que toso mundo sabe que tiene telvel ya que al recibir llamadas le sale mas barato.";2;"por que no conoce la compañía.";4;4;"para ver si sale mejor el servicio en cuanto al saldo.";4;4;2;2;5;2;4;5;4;"para conocer el servicio y ver si es mejor en cuanto a sus servicios.";4;4;2;2;4;2;4;4;6;9;6;9;9;6;6;9;6;9;9;9;9;7;6;6;9;6;6;4;1;2;;8;;9;1;8;4;1;100;1;"5 Nextel";3;;
632;;3;;;;;;;11325;1;;;;;;;;;"1119delpozoalejandra061404";"2015-10-07 19:43:06";"2015-10-07 20:02:18";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1925542258;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;7;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"es el que siempre usado no e tratado no me acuerdo con que compañía no hay señal en la huastecok en tamazopo";0;4;0;97;;;"ya lo conozco ya se en donde moverme si tiene algún problema por decir como recuperarlo y todo";2;"no me interesa para nada";2;1;"todo esta bien pero no quisiera cambiar de compañía es mas que nada que si tengo algún problema ya conozco la compañía tengo miedo de que algo falle";2;1;5;2;1;2;1;2;1;"todo esta bien pero no quisiera cambiar de compañía es mas que nada que si tengo algún problema ya conozco la compañía tengo miedo de que algo falle";1;2;2;1;1;1;1;2;6;6;6;6;6;6;6;6;9;9;9;6;6;6;6;9;6;9;6;3;2;2;;4;;8;2;5;1;2;8;3;"3 Telcel";1;;
701;;3;;;;;;;18050;1;;;;;;;;;"1412serranoveronica061502";"2015-10-08 14:15:55";"2015-10-08 14:26:54";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1858773393;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;1;;"LA VERDAD LAS OTRAS NO E COMPLACEN POR L QUE OFESE";"JHFG";"EL PLAN APARTE CON LA LINE YA TENGO MAS TIEMPO";6;0;0;5;;"TAL VES MEJOR CE";;;;4;2;"PRQUE TENGO QYE RECARGAR";2;2;4;2;2;2;2;2;1;"HACE COMO 12 AÑOS TUVE IUSACEL Y NO ME COMPLACI NADA";1;1;1;1;1;1;1;1;9;9;7;7;9;6;6;7;9;7;9;9;9;7;7;6;9;9;9;3;2;1;;1;;8;2;3;1;1;10;4;"3 Telcel";1;;
714;;3;;;;;;;22330;1;;;;;;;;;"3103lopezmegan";"2015-10-08 14:18:43";"2015-10-08 14:41:41";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1858605349;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;8;;;;;;;;;;6;;95;;;;;;;;;;;;;;;;;;2;;;;;2;1;;"yo fui telcel durante muchos años pero veía que no me duraba el saldo, le ponía 100 pesos y una, dos llamadas me quitaban el saldo y te dan fecha de cuando expira, una llamadita me daban numero gratis y me lo cobraran después me llamo movistar y me dijo quieres unirte al equipo, me dio un plan y asta ahorita no me han fallado, me ha resultado bien";"yo creo tarde mucho tiempo con el y a movistar nunca habia sido otra linea siempre telcel si me gustaba y todo pero ahora que estoy con movistar lo veo con buenos ojos, no me rendia el dinero";;2;98;98;97;;;"siempre ofrece buenas promosiones y son legales";2;"mo me gusta estar cambiando siempre donde me me tratan bien ahí me quedo";4;1;"la razón es que aqui me dan recarga de 200 mensuales y movistar me da 500 autamaticamente, 350 mg para navegar , 200 mensajes y es para todo el mes y watsap ilimitado esa la única razón que a mi me gusta";4;1;4;4;4;4;4;4;2;"para cambiarme nunca me cambiaria estas promociones nunca las boy hallar en otra compañia";4;4;5;4;4;5;4;4;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;4;1;1;;1;;3;2;3;1;2;4;4;"3 Telcel";1;;
721;;3;;;;;;;30855;1;;;;;;;;;"1348durangustavo041501";"2015-10-08 14:20:13";"2015-10-08 14:58:10";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1858514915;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;1;6;;"para probar";;"se me antojo tomar telcel";1;98;98;3;;"porque movister te regala de treinta";;2;"porque no conozco";2;1;"no conozco la compañía";4;4;4;1;5;1;1;4;1;"porque quiero quedarme con telcel";4;4;4;4;4;1;1;4;7;7;7;9;9;9;7;7;7;7;7;9;7;7;7;9;7;9;7;5;2;2;;4;;5;2;3;0;2;4;4;"3 Telcel";1;;
723;;3;;;;;;;23600;1;;;;;;;;;"1406llanosmoises061503";"2015-10-08 14:20:42";"2015-10-08 14:53:49";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1858485852;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;2;;;;;;;;;;2;95;;;;"PUES ES MAS EFECTIVO MEJOR EN TODO EN EL SISTEMA DEL SALDO";7;98;998;3;;"ESTA BIEN POR LAS PROMOCIONES QUE TIENEN";;2;"POR QUE NO CONOSCO EL SISTEMA DE UNEFON";5;4;"POR QUE SE VE QUE ESTAN BUENAS LAS PROMOCIONES QUE HAY AHI";5;4;5;5;4;4;4;4;4;"POR QUE SE VE QUE SON BUENAS COMPAÑIAS NO TENGO QUEJA PERO SI LO PENSARIA PARA HACER ALGO ASI  PERO SI PODRIA HACERLO";4;3;3;3;2;3;4;3;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;3;1;1;;1;;3;2;4;1;1;6;2;"3 Telcel";1;;
742;;3;;;;;;;30760;1;;;;;;;;;"1412serranoveronica061502";"2015-10-08 14:26:17";"2015-10-08 14:59:51";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1858150699;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"pues porque mi familia simpre ha usado telcel";9;0;0;3;;"tienen buenos buenos planes";;2;"no conoce como esta la línea o sus tarifas";5;4;"porque este como no se si se unefon marca a telcel me cobrarían as o me quitarían mas";2;4;4;4;2;2;2;4;5;"porque me llamo la atención  la tarifa";4;2;4;2;2;2;2;4;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;2;2;1;;5;;9;2;2;1;1;7;4;"3 Telcel";1;;
752;;3;;;;;;;17984;1;;;;;;;;;"1453gutierrezdavid061502";"2015-10-08 14:31:12";"2015-10-08 14:48:11";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1857856091;"IOM 6.0";33;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;7;;1;8;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"POR LA COBERTERUA Y LA MAYORIA DE MIS CONTACTOS O CONOCIDOS MANEJAN TELCEL";3;0;0;5;;"SERIA POR LAS TARIFAS Y OFRECE ALGUNOS SERVICIOS QUE LAS OTRAS COMPAÑIAS NO,ES QUE ALGUNOS SERVICIOS QUE YO ESCUCHADO ES QUE PUEDES CONTRATAR UNA RED PARA TRABAJAR ENTRE VARIAS LINEAS";;;;4;2;"POR LAS TARIFAS QUE OFRECE Y LOS PLANES";4;4;4;4;4;4;2;2;2;"IUSACELL NO LO CONOZCO MUY BIEN";4;4;4;4;4;4;2;2;6;6;7;6;7;7;7;6;6;7;7;7;7;7;7;7;7;6;7;3;1;1;;96;"ELECTRICISTA Y ESTUDIANTE";1;2;6;2;1;10;3;"3 Telcel";1;;
773;;3;;;;;;;21190;1;;;;;;;;;"1523sanchezmario071504";"2015-10-08 14:38:13";"2015-10-08 14:59:26";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1857435201;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"POR QUE AGARRA SEÑAL DONDE SEA. ME DURA MI SALDO. USO EL PLAN 100.";6;99;998;97;;;"POR QUE TE DA PROMOCIONES Y TIENE SEÑAL DONDE QUIERA Y PUEDO REALIZAR LLAMADAS A ESTADOS UNIDOS.";1;"POR QUE TE DA SALDO CON UNA RECARGA TE DAN UN PLAN MEGAS Y MINUTOS.";5;4;"POR QUE TE DA MAS MEGAS.";4;5;5;4;2;4;2;2;4;"POR QUE TE DA MAS PLANES Y MAS MEGAS Y MAS EN TUS RECARGAS Y PUEDO COMPTAR APPS.";4;4;4;4;4;4;4;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;1;1;1;;1;;2;1;3;2;2;10;3;"3 Telcel";1;;
776;;3;;;;;;;19644;1;;;;;;;;;"1521sepulvedadarwin071503";"2015-10-08 14:38:58";"2015-10-08 14:55:23";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1857390085;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"POR LA MAYOR COVERTURA";6;0;998;97;;;"POR LA COVERTURA";2;"TELCEL TIENE LA MAYOR COVERTURA";5;3;"VIENDO LA COVERTURA QUE OFRECE";4;2;1;2;4;1;1;4;1;"SON LINEAS QUE NO TIENEN COVERTURA";1;1;1;1;1;1;1;1;9;9;8;9;8;9;9;8;9;9;9;8;8;8;8;8;9;9;9;5;1;2;;1;;5;2;2;5;3;1;9;"3 Telcel";1;;
781;;3;;;;;;;18529;1;;;;;;;;;"1459resendizrodolfo061504";"2015-10-08 14:42:18";"2015-10-08 15:01:39";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1857189998;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;96;"TELMEX";95;;;;;;;;;;;96;"TELMEX";95;;;;;;;;;;;;;;;;;;;;;;2;2;95;;;;;1;0;0;96;"A LA QUE SEA";"LA SEÑAL";;1;"POR LA SEÑAL";4;3;"PORQUE TODAVIA NO CONOZCO LA EMPRESA DE UNEFON NI NADA";2;2;2;2;2;3;3;2;3;"NECESITO CONOCER LA EMPRESA Y TODO";2;2;2;2;2;2;2;2;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2;1;96;"NO PROPORCIONO";96;"NO PROPORCIONO";14;3;99;5;3;99;9;"3 Telcel";1;;
827;;3;;;;;;;24518;1;;;;;;;;;"3103lopezmegan";"2015-10-08 14:52:53";"2015-10-08 15:14:24";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1856554716;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;7;;1;5;6;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"mi mama y hermana también tienen telcel y se me hace mas barato";1;98;998;3;;"yo aveces telcel como que gasta mas dinero, aveces me da tipo indicación que tengo que actualizar contactos y gasta saldo, también parte de mi familia tiene movistar";;2;"nadie o pocos lo usan y no hay señal de unefon aqui";4;2;"casi nadie lo usa aparte aquí no hay señal";4;1;1;2;2;1;2;1;1;"nadie tiene o usa la compañia";5;1;2;2;4;1;2;2;6;7;6;6;6;6;7;6;7;7;6;6;6;6;6;6;6;6;6;1;1;1;;6;;14;3;98;5;3;98;9;"3 Telcel";1;;
845;;3;;;;;;;21657;1;;;;;;;;;"1355hernandezoralia051403";"2015-10-08 14:58:13";"2015-10-08 15:14:28";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1856235163;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;7;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;5;;"ERA MA MA CARO, DEREPENTE  E LE IBA LÑA EÑAL";;"TODO MI FAMILIARES LO OCUPAN COMO OSTUMR";5;0;0;97;;;"COMO YA LLEBO TIEMPO YA LOS CONOCO TIENEN BUENA EÑAL YA SE COMO OBRA";2;"POR PARA PONER TIEMPO AIRE AVCE NO HAY SISTEMA";4;4;"POR QUE  TELCEL LO MANEJA   PARECIDO EL PLAN DE LOS MEGAS QUE PAGAS 200 Y DA 400 MB";4;4;1;4;2;4;2;3;1;"YA LO PROBE Y ALI CON PROBLEMAS Y YA NO";1;2;2;4;2;2;2;3;7;6;7;7;7;7;6;7;6;7;7;7;7;7;7;7;7;7;7;3;1;1;;1;;5;1;6;1;1;13;2;"3 Telcel";1;;
